time_stamp,sensor_index,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm
1741996800,264579,37,76,988.45,9.9,9.1,10.8,10.8
1742083200,264579,37,67,993.94,9.6,9.1,10.1,11.2
1742169600,264579,42,60,998.66,21.3,20.3,22.2,23.6
1742256000,264579,40,53,1010.44,16.5,16.1,17.0,18.2
1742342400,264579,36,55,1013.3,39.1,38.8,39.5,46.2
1742428800,264579,34,59,1011.95,50.3,50.1,50.5,61.9
1742515200,264579,40,59,1006.5,65.5,64.9,66.1,75.3
1742601600,264579,60,57,996.37,56.6,57.2,56.1,64.4
1742688000,264579,61,59,991.88,26.6,26.2,27.1,29.3
1742774400,264579,53,61,995.53,23.9,23.1,24.7,26.3
1742860800,264579,45,65,998.54,33.4,32.6,34.2,38.8
1742947200,264579,42,66,996.74,33.2,32.7,33.8,38.9
1743033600,264579,36,66,993.3,24.3,23.7,24.9,27.4
1743120000,264579,35,67,988.55,23.7,23.2,24.2,26.1
1743206400,264579,47,64,988.11,20.1,19.7,20.4,22.2
1743292800,264579,38,68,993.45,16.4,15.8,17.0,17.7
1743465600,264579,25,65,997.04,7.7,7.2,8.2,8.6
1743552000,264579,34,65,999.89,19.3,18.7,20.0,20.7
1743638400,264579,39,67,1003.39,31.9,31.5,32.4,36.2
1743724800,264579,33,70,1000.1,40.9,40.7,41.0,49.4
1743811200,264579,33,72,992.82,37.5,37.1,38.0,44.9
1743897600,264579,35,66,992.67,20.7,20.1,21.3,23.1
1743984000,264579,27,63,1002.47,10.2,9.6,10.7,11.9
1744070400,264579,32,59,1007.0,24.7,24.0,25.3,29.0
1744156800,264579,36,63,1003.16,40.6,40.0,41.1,49.0
1744243200,264579,35,68,1002.61,40.9,40.4,41.4,49.9
1744329600,264579,39,70,999.72,29.7,28.9,30.5,34.9
1744416000,264579,41,70,997.81,26.1,25.3,26.9,28.4
1744502400,264579,45,67,996.81,19.4,18.8,20.1,21.0
1744588800,264579,61,63,994.54,35.3,35.3,35.4,41.5
1744675200,264579,62,65,989.48,19.4,19.1,19.7,21.2
1744761600,264579,64,66,990.98,27.7,27.5,28.0,34.2
1744848000,264579,62,64,986.29,9.1,8.8,9.5,11.5
1744934400,264579,50,68,993.95,9.9,9.2,10.5,10.7
1745020800,264579,48,67,995.89,12.6,11.9,13.2,14.5
1745107200,264579,55,66,993.98,20.9,20.2,21.6,23.6
1745193600,264579,47,68,995.44,13.0,12.2,13.8,14.6
1745280000,264579,40,72,996.7,14.8,13.8,15.8,16.3
1745366400,264579,44,72,994.73,15.1,14.1,16.0,16.5
1745452800,264579,38,70,992.91,1.1,1.0,1.2,1.4
1745539200,264579,36,72,993.5,5.6,5.2,6.0,6.3
1745625600,264579,36,73,997.13,4.6,4.3,5.0,5.1
1745712000,264579,47,71,1003.16,9.1,8.6,9.7,9.7
1745798400,264579,39,76,1005.69,13.6,12.6,14.5,14.5
1745884800,264579,37,78,1004.53,23.3,22.2,24.4,25.1
1746057600,264579,34,81,1001.8,26.9,26.0,27.8,30.2
1746144000,264579,30,82,1001.12,23.4,22.4,24.5,25.7
1746230400,264579,32,78,997.08,11.9,11.0,12.7,13.0
1746316800,264579,46,73,990.07,11.4,10.9,11.9,13.3
1746403200,264579,56,70,984.68,12.3,12.1,12.6,14.1
1746489600,264579,56,69,990.66,10.4,10.2,10.7,11.2
1746576000,264579,53,67,993.47,13.3,12.9,13.8,14.5
1746662400,264579,50,68,993.08,24.8,24.3,25.3,27.0
1746748800,264579,49,68,997.34,20.7,20.1,21.4,22.4
1746835200,264579,45,71,1000.54,22.7,21.9,23.4,24.3
1746921600,264579,39,75,996.01,24.5,23.4,25.6,26.2
1747008000,264579,40,76,993.24,15.0,14.2,15.7,15.8
