time_stamp,sensor_index,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm
1645660800,133001,34,56,965.51,40.1,41.2,39.1,49.9
1645747200,133001,28,58,964.97,30.9,31.1,30.6,37.7
1645833600,133001,14,56,970.97,1.3,1.2,1.3,1.5
1645920000,133001,23,53,972.36,4.3,4.4,4.3,4.8
1646092800,133001,31,47,974.91,19.3,20.3,18.3,21.8
1646179200,133001,28,54,968.31,34.2,35.2,33.1,40.8
1646265600,133001,32,58,961.6,35.7,36.3,35.0,42.8
1646352000,133001,42,54,959.99,43.6,44.7,42.4,54.2
1646438400,133001,36,50,962.53,32.7,34.4,31.1,38.8
1646524800,133001,29,49,963.0,29.0,30.4,27.7,33.4
1646611200,133001,28,52,963.66,33.9,35.2,32.6,40.8
1646697600,133001,36,47,968.11,37.4,39.6,35.1,46.1
1646784000,133001,30,53,969.35,46.2,47.5,45.0,58.2
1646870400,133001,27,58,970.13,45.9,46.9,44.8,58.3
1646956800,133001,38,53,971.94,38.6,40.0,37.1,47.3
1647043200,133001,38,49,973.02,28.6,30.3,27.0,33.1
1647129600,133001,37,51,972.36,40.8,42.7,38.9,50.7
1647216000,133001,41,52,978.54,35.0,36.2,33.8,42.4
1647302400,133001,47,56,979.01,42.1,42.9,41.3,52.1
1647388800,133001,49,57,971.65,42.6,43.0,42.2,50.6
1647475200,133001,56,57,973.45,57.0,57.3,56.7,64.1
1647561600,133001,41,59,978.24,49.4,49.2,49.5,58.9
1647648000,133001,29,60,979.02,32.8,33.1,32.6,37.8
1647734400,133001,23,57,980.78,27.3,27.8,26.9,31.0
1647820800,133001,24,58,980.92,34.2,34.8,33.5,40.6
1647907200,133001,21,60,979.96,39.4,40.0,38.8,48.2
1647993600,133001,16,65,976.92,29.8,30.1,29.6,35.6
1648080000,133001,12,70,972.81,18.0,17.5,18.5,19.6
1648166400,133001,14,68,971.19,22.0,21.7,22.2,24.1
1648252800,133001,12,69,972.9,22.6,22.2,22.9,24.8
1648339200,133001,16,68,974.44,38.9,38.6,39.1,47.5
1648425600,133001,14,71,970.14,35.0,34.7,35.3,41.6
1648512000,133001,24,66,960.01,36.9,36.7,37.2,43.8
1648598400,133001,56,56,951.37,36.7,37.2,36.1,42.9
1648771200,133001,44,58,939.37,1.4,1.3,1.5,1.6
1648857600,133001,50,49,948.14,13.6,14.1,13.1,15.4
1648944000,133001,36,53,960.1,11.0,10.8,11.2,11.7
1649030400,133001,44,53,963.74,28.8,29.0,28.6,31.9
1649116800,133001,31,64,959.16,28.9,28.7,29.1,33.4
1649203200,133001,37,63,956.21,30.4,29.9,31.0,34.8
1649289600,133001,31,68,951.24,17.3,17.1,17.4,20.1
1649376000,133001,26,73,949.17,0.8,0.7,0.9,1.0
1649462400,133001,13,67,952.08,4.6,4.7,4.6,5.0
1649548800,133001,17,63,964.23,0.8,0.7,0.8,0.9
1649635200,133001,25,64,966.89,1.2,1.1,1.2,1.4
1649721600,133001,26,67,966.16,3.6,3.4,3.8,4.1
1649808000,133001,24,70,965.89,15.6,15.3,15.9,17.2
1649894400,133001,23,74,966.77,17.3,17.1,17.5,19.4
1649980800,133001,21,78,966.07,16.0,15.8,16.2,17.7
1650067200,133001,24,76,964.64,12.5,12.3,12.7,13.7
1650153600,133001,28,66,965.61,1.6,1.6,1.6,1.9
1650240000,133001,23,68,961.52,5.5,5.6,5.4,6.0
1650326400,133001,32,69,956.89,14.5,14.6,14.4,15.7
1650412800,133001,53,58,959.29,28.0,28.4,27.5,31.5
1650499200,133001,48,58,956.29,22.0,22.5,21.6,23.9
1650585600,133001,46,63,949.84,13.8,14.1,13.6,15.4
1650672000,133001,57,60,950.58,11.4,11.5,11.4,12.7
1650758400,133001,50,61,951.82,3.0,3.0,3.0,3.2
1650844800,133001,43,68,956.82,12.7,12.7,12.7,13.6
1650931200,133001,44,68,960.47,9.9,9.8,10.1,10.8
1651017600,133001,37,71,965.1,10.2,10.1,10.3,11.1
1651104000,133001,28,74,969.62,7.5,7.5,7.5,8.2
1651190400,133001,30,71,970.49,12.4,12.4,12.4,13.3
1651363200,133001,29,72,962.92,8.3,8.4,8.3,8.9
1651449600,133001,33,72,961.36,11.4,11.3,11.5,12.0
1651536000,133001,45,67,962.86,13.2,13.0,13.4,14.2
1651622400,133001,50,68,964.79,13.3,13.1,13.4,14.2
1651708800,133001,61,61,966.4,9.3,9.1,9.5,10.0
1651795200,133001,62,61,967.3,1.0,1.0,1.0,1.1
1651881600,133001,52,68,966.38,5.6,5.5,5.7,6.1
1651968000,133001,55,67,967.74,4.2,4.1,4.4,4.6
1652054400,133001,40,74,970.18,5.2,5.1,5.3,5.7
1652140800,133001,34,79,968.64,12.9,12.9,12.9,13.8
1652227200,133001,35,80,967.3,13.6,13.6,13.7,14.6
1652313600,133001,42,79,967.56,16.8,16.4,17.1,17.9
1652400000,133001,43,80,966.21,17.2,17.0,17.5,18.4
1652486400,133001,38,82,965.97,14.1,13.9,14.3,14.9
1652572800,133001,38,82,965.88,12.2,12.1,12.3,13.3
1652659200,133001,39,82,966.3,15.0,14.8,15.1,16.1
1652745600,133001,34,85,965.8,9.3,9.2,9.5,10.1
1652832000,133001,33,87,968.42,10.2,10.1,10.4,11.2
1652918400,133001,30,84,973.43,4.5,4.5,4.5,4.8
1653004800,133001,33,85,971.87,10.9,10.8,10.9,11.5
1653091200,133001,39,86,965.47,15.4,15.3,15.6,16.4
1653177600,133001,45,83,960.41,19.1,19.1,19.1,20.1
1653264000,133001,47,80,955.66,13.4,13.3,13.4,14.3
1653350400,133001,40,80,954.56,6.3,6.3,6.3,6.8
1653436800,133001,56,73,961.76,14.2,14.6,13.7,15.3
1653523200,133001,46,81,967.75,14.0,14.5,13.5,15.1
1653609600,133001,36,86,964.56,12.4,12.7,12.1,13.3
1653696000,133001,31,86,956.01,5.1,5.3,5.0,5.6
1653782400,133001,48,67,955.56,4.9,5.2,4.5,5.2
1653868800,133001,46,68,958.45,8.5,9.0,8.1,9.1
1654041600,133001,40,79,963.48,23.9,24.8,23.0,26.5
1654128000,133001,38,84,964.78,16.4,17.1,15.7,17.4
1654214400,133001,54,77,966.51,31.4,32.4,30.5,36.9
1654300800,133001,46,82,966.4,25.7,26.5,25.0,27.9
1654387200,133001,42,85,962.95,14.6,15.1,14.2,15.9
1654473600,133001,39,86,962.99,6.8,6.8,6.7,7.6
1654560000,133001,38,83,959.61,5.9,5.9,5.8,6.2
1654646400,133001,43,79,957.27,8.4,8.4,8.3,9.0
1654732800,133001,26,83,957.62,5.6,5.6,5.6,6.1
1654819200,133001,17,85,964.68,0.0,0.0,0.0,0.0
1654905600,133001,19,88,967.11,0.0,0.0,0.0,0.0
1654992000,133001,23,90,967.19,2.2,2.1,2.3,2.6
1655078400,133001,27,91,963.19,3.1,3.0,3.1,3.3
1655164800,133001,32,89,965.36,18.7,19.0,18.3,19.4
1655251200,133001,37,87,966.44,20.8,21.3,20.3,21.7
1655337600,133001,33,93,965.19,26.4,26.9,25.8,28.3
1655424000,133001,29,94,967.1,20.8,21.3,20.3,21.7
1655510400,133001,31,92,968.01,18.1,18.6,17.7,19.2
1655596800,133001,30,91,963.93,16.8,17.4,16.1,17.8
